Pane,"Cumulative biomass",,,,,,,,,,
Data,"1: Whales","2: Seals","3: Cod","4: Whiting","5: Mackerel","6: Anchovy","7: Shrimp","8: Benthos","9: Zooplankton","10: Phytoplankton","11: Detritus"
1973.25,0.0779842883348465,0.0449805483222008,2.69967007637024,1.06291997432709,0.622061669826508,4.98783683776855,0.0456702783703804,27.4324932098389,10.7592144012451,18.4553489685059,8.37561511993408
1973.33333333333,0.0777941569685936,0.0447709485888481,2.70994853973389,1.08611786365509,0.638894736766815,5.04980039596558,0.0443263612687588,27.6734237670898,10.9079303741455,18.438591003418,8.43692016601563
1973.41666666667,0.0776071101427078,0.0445674583315849,2.72121644020081,1.10951673984528,0.65602844953537,5.11032724380493,0.0431143417954445,27.9075202941895,11.0534648895264,18.4218292236328,8.49668884277344
1973.5,0.0774232521653175,0.0443698801100254,2.73338842391968,1.13295662403107,0.673323214054108,5.16985130310059,0.042021531611681,28.1345386505127,11.1955661773682,18.4051971435547,8.55484199523926
1973.58333333333,0.0772426798939705,0.0441779978573322,2.74638676643372,1.15629744529724,0.690659284591675,5.2287130355835,0.0410366207361221,28.3543472290039,11.3340320587158,18.3887767791748,8.61131572723389
1973.66666666667,0.0770654752850533,0.0439915955066681,2.76014041900635,1.17941796779633,0.707935214042664,5.28715658187866,0.0401495397090912,28.5668964385986,11.468692779541,18.372615814209,8.66606330871582
1973.75,0.0768917202949524,0.0438104532659054,2.77458524703979,1.20221483707428,0.725065886974335,5.34532928466797,0.0393513329327106,28.7721881866455,11.5993900299072,18.356746673584,8.71903896331787
1973.83333333333,0.0767214894294739,0.0436343550682068,2.78966283798218,1.22460114955902,0.741981089115143,5.40328788757324,0.0386340320110321,28.9702568054199,11.7259893417358,18.3412075042725,8.77020835876465
1973.91666666667,0.0765548571944237,0.043463084846735,2.80532073974609,1.24650585651398,0.758623719215393,5.46100664138794,0.0379905439913273,29.1611480712891,11.8483810424805,18.3260307312012,8.81954383850098
1974,0.0763918980956078,0.0432964339852333,2.82151126861572,1.26787233352661,0.774948179721832,5.51838970184326,0.0374145470559597,29.344913482666,11.9664783477783,18.3112678527832,8.86702919006348
1974.08333333333,0.0762326866388321,0.043200708925724,2.83465981483459,1.28825342655182,0.790921151638031,5.57619571685791,0.0369091369211674,29.5319690704346,12.079906463623,18.2959365844727,8.91243553161621
1974.16666666667,0.076077438890934,0.0431089922785759,2.84825801849365,1.30804538726807,0.80651593208313,5.63315153121948,0.0364624820649624,29.7091732025146,12.188362121582,18.281665802002,8.95583820343018
1974.25,0.0759261697530746,0.0430210568010807,2.86228966712952,1.32724022865295,0.821714162826538,5.6890230178833,0.0360696651041508,29.8766536712646,12.2924423217773,18.268741607666,8.99744129180908
1974.33333333333,0.0757788866758347,0.0429366827011108,2.87673258781433,1.34583556652069,0.836504995822906,5.74358558654785,0.0357261896133423,30.0348625183105,12.392596244812,18.2568664550781,9.0374059677124
1974.41666666667,0.075635589659214,0.042855653911829,2.89156031608582,1.36383283138275,0.850882649421692,5.79662990570068,0.035427950322628,30.1844520568848,12.48903465271,18.2456741333008,9.0758113861084
1974.5,0.0754962787032127,0.0427777655422688,2.90674352645874,1.38123643398285,0.864844679832459,5.84796571731567,0.0351712331175804,30.3261528015137,12.58180809021,18.2349090576172,9.11267948150635
1974.58333333333,0.0753609389066696,0.0427028313279152,2.92225098609924,1.39805293083191,0.878390729427338,5.89742517471313,0.0349527224898338,30.4606819152832,12.670877456665,18.2244529724121,9.14800262451172
1974.66666666667,0.0752295479178429,0.0426306761801243,2.93805146217346,1.41429030895233,0.891521573066711,5.94486570358276,0.0347694680094719,30.588680267334,12.7561912536621,18.2142772674561,9.18177032470703
1974.75,0.0751020535826683,0.0425611399114132,2.95411443710327,1.42995774745941,0.904238641262054,5.99017238616943,0.0346188694238663,30.7106761932373,12.8377151489258,18.2044143676758,9.2139835357666
1974.83333333333,0.074978418648243,0.0424940772354603,2.97041058540344,1.44506525993347,0.91654360294342,6.03325891494751,0.0344986394047737,30.8270702362061,12.9154415130615,18.194896697998,9.24464988708496
1974.91666666667,0.0748585686087608,0.0424293540418148,2.98691177368164,1.45962333679199,0.928438067436218,6.07406854629517,0.0344067513942719,30.9381484985352,12.9893980026245,18.1857757568359,9.27378940582275
1975,0.0747424438595772,0.0423668473958969,3.00359153747559,1.47364258766174,0.939923286437988,6.11257410049438,0.0343413986265659,31.0440921783447,13.0596370697021,18.1770782470703,9.30143165588379
1975.08333333333,0.0746299251914024,0.0423714779317379,3.02025651931763,1.48583817481995,0.950997471809387,6.14743757247925,0.0342911332845688,31.130931854248,13.127269744873,18.1720504760742,9.32814788818359
