"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,MortFleetGroup

timestep,fleet,group,value
6,3,5,0.3333333
6,3,6,0.17142858
6,3,7,0
6,3,8,0
6,3,9,0
6,3,10,0
6,3,11,0
6,4,1,0
6,4,2,0
6,4,3,0
6,4,4,0
6,4,5,0
6,4,6,0.028571427
6,4,7,0
6,4,8,0
6,4,9,0
6,4,10,0
6,4,11,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,5,5,0
6,5,6,0
6,5,7,0.625
6,5,8,0
6,5,9,0
6,5,10,0
6,5,11,0
7,1,1,0
7,1,2,0.073891625
7,1,3,0
7,1,4,0
7,1,5,0
7,1,6,0
7,1,7,0
7,1,8,0
7,1,9,0
7,1,10,0
7,1,11,0
7,2,1,0
7,2,2,0
7,2,3,0.14999999
7,2,4,0.11111112
7,2,5,0
7,2,6,0
7,2,7,0
7,2,8,0
7,2,9,0
7,2,10,0
7,2,11,0
7,3,1,0
7,3,2,0
7,3,3,0
7,3,4,0
7,3,5,0.3333333
7,3,6,0.17142858
7,3,7,0
7,3,8,0
7,3,9,0
7,3,10,0
7,3,11,0
7,4,1,0
7,4,2,0
7,4,3,0
7,4,4,0
7,4,5,0
7,4,6,0.028571429
7,4,7,0
7,4,8,0
7,4,9,0
7,4,10,0
7,4,11,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,5,5,0
7,5,6,0
7,5,7,0.625
7,5,8,0
7,5,9,0
7,5,10,0
7,5,11,0
8,1,1,0
8,1,2,0.073891625
8,1,3,0
8,1,4,0
8,1,5,0
8,1,6,0
8,1,7,0
8,1,8,0
8,1,9,0
8,1,10,0
8,1,11,0
8,2,1,0
8,2,2,0
8,2,3,0.14999999
8,2,4,0.11111112
8,2,5,0
8,2,6,0
8,2,7,0
8,2,8,0
8,2,9,0
8,2,10,0
8,2,11,0
8,3,1,0
8,3,2,0
8,3,3,0
8,3,4,0
8,3,5,0.3333333
8,3,6,0.17142858
8,3,7,0
8,3,8,0
8,3,9,0
8,3,10,0
8,3,11,0
8,4,1,0
8,4,2,0
8,4,3,0
8,4,4,0
8,4,5,0
8,4,6,0.028571427
8,4,7,0
8,4,8,0
8,4,9,0
8,4,10,0
8,4,11,0
8,5,1,0
8,5,2,0
8,5,3,0
8,5,4,0
8,5,5,0
8,5,6,0
8,5,7,0.625
8,5,8,0
8,5,9,0
8,5,10,0
8,5,11,0
9,1,1,0
9,1,2,0.073891625
9,1,3,0
9,1,4,0
9,1,5,0
9,1,6,0
9,1,7,0
9,1,8,0
9,1,9,0
9,1,10,0
9,1,11,0
9,2,1,0
9,2,2,0
9,2,3,0.14999999
9,2,4,0.11111112
9,2,5,0
9,2,6,0
9,2,7,0
9,2,8,0
9,2,9,0
9,2,10,0
9,2,11,0
9,3,1,0
9,3,2,0
9,3,3,0
9,3,4,0
9,3,5,0.3333333
9,3,6,0.17142856
9,3,7,0
9,3,8,0
9,3,9,0
9,3,10,0
9,3,11,0
9,4,1,0
9,4,2,0
9,4,3,0
9,4,4,0
9,4,5,0
9,4,6,0.028571427
9,4,7,0
9,4,8,0
9,4,9,0
9,4,10,0
9,4,11,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,5,5,0
9,5,6,0
9,5,7,0.625
9,5,8,0
9,5,9,0
9,5,10,0
9,5,11,0
10,1,1,0
10,1,2,0.073891625
10,1,3,0
10,1,4,0
10,1,5,0
10,1,6,0
10,1,7,0
10,1,8,0
10,1,9,0
10,1,10,0
10,1,11,0
10,2,1,0
10,2,2,0
10,2,3,0.14999999
10,2,4,0.11111112
10,2,5,0
10,2,6,0
10,2,7,0
10,2,8,0
10,2,9,0
10,2,10,0
10,2,11,0
10,3,1,0
10,3,2,0
10,3,3,0
10,3,4,0
10,3,5,0.3333333
10,3,6,0.17142859
10,3,7,0
10,3,8,0
10,3,9,0
10,3,10,0
10,3,11,0
10,4,1,0
10,4,2,0
10,4,3,0
10,4,4,0
10,4,5,0
10,4,6,0.028571429
10,4,7,0
10,4,8,0
10,4,9,0
10,4,10,0
10,4,11,0
10,5,1,0
10,5,2,0
10,5,3,0
10,5,4,0
10,5,5,0
10,5,6,0
10,5,7,0.625
10,5,8,0
10,5,9,0
10,5,10,0
10,5,11,0
11,1,1,0
11,1,2,0.073891625
11,1,3,0
11,1,4,0
11,1,5,0
11,1,6,0
11,1,7,0
11,1,8,0
11,1,9,0
11,1,10,0
11,1,11,0
11,2,1,0
11,2,2,0
11,2,3,0.14999999
11,2,4,0.11111112
11,2,5,0
11,2,6,0
11,2,7,0
11,2,8,0
11,2,9,0
11,2,10,0
11,2,11,0
11,3,1,0
11,3,2,0
11,3,3,0
11,3,4,0
11,3,5,0.3333333
11,3,6,0.17142858
11,3,7,0
11,3,8,0
11,3,9,0
11,3,10,0
11,3,11,0
11,4,1,0
11,4,2,0
11,4,3,0
11,4,4,0
11,4,5,0
11,4,6,0.028571427
11,4,7,0
11,4,8,0
11,4,9,0
11,4,10,0
11,4,11,0
11,5,1,0
11,5,2,0
11,5,3,0
11,5,4,0
11,5,5,0
11,5,6,0
11,5,7,0.625
11,5,8,0
11,5,9,0
11,5,10,0
11,5,11,0
12,1,1,0
12,1,2,0.073891625
12,1,3,0
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,0
12,1,9,0
12,1,10,0
12,1,11,0
12,2,1,0
12,2,2,0
12,2,3,0.14999999
12,2,4,0.11111111
12,2,5,0
12,2,6,0
12,2,7,0
12,2,8,0
12,2,9,0
12,2,10,0
12,2,11,0
12,3,1,0
12,3,2,0
12,3,3,0
12,3,4,0
12,3,5,0.3333333
12,3,6,0.17142858
12,3,7,0
12,3,8,0
12,3,9,0
12,3,10,0
12,3,11,0
12,4,1,0
12,4,2,0
12,4,3,0
12,4,4,0
12,4,5,0
12,4,6,0.028571427
12,4,7,0
12,4,8,0
12,4,9,0
12,4,10,0
12,4,11,0
12,5,1,0
12,5,2,0
12,5,3,0
12,5,4,0
12,5,5,0
12,5,6,0
12,5,7,0.625
12,5,8,0
12,5,9,0
12,5,10,0
12,5,11,0
13,1,1,0
13,1,2,0.073891625
13,1,3,0
13,1,4,0
13,1,5,0
13,1,6,0
13,1,7,0
13,1,8,0
13,1,9,0
13,1,10,0
13,1,11,0
13,2,1,0
13,2,2,0
13,2,3,0.15749998
13,2,4,0.116666675
13,2,5,0
13,2,6,0
13,2,7,0
13,2,8,0
13,2,9,0
13,2,10,0
13,2,11,0
13,3,1,0
13,3,2,0
13,3,3,0
13,3,4,0
13,3,5,0.3333333
13,3,6,0.17142859
13,3,7,0
13,3,8,0
13,3,9,0
13,3,10,0
13,3,11,0
13,4,1,0
13,4,2,0
13,4,3,0
13,4,4,0
13,4,5,0
13,4,6,0.028571429
13,4,7,0
13,4,8,0
13,4,9,0
13,4,10,0
13,4,11,0
13,5,1,0
13,5,2,0
13,5,3,0
13,5,4,0
13,5,5,0
13,5,6,0
13,5,7,0.625
13,5,8,0
13,5,9,0
13,5,10,0
13,5,11,0
14,1,1,0
14,1,2,0.073891625
14,1,3,0
14,1,4,0
14,1,5,0
14,1,6,0
14,1,7,0
14,1,8,0
14,1,9,0
14,1,10,0
14,1,11,0
14,2,1,0
14,2,2,0
14,2,3,0.15749998
14,2,4,0.116666675
14,2,5,0
14,2,6,0
14,2,7,0
14,2,8,0
14,2,9,0
14,2,10,0
14,2,11,0
14,3,1,0
14,3,2,0
14,3,3,0
14,3,4,0
14,3,5,0.3333333
14,3,6,0.17142858
14,3,7,0
14,3,8,0
14,3,9,0
14,3,10,0
14,3,11,0
14,4,1,0
14,4,2,0
14,4,3,0
14,4,4,0
14,4,5,0
14,4,6,0.028571429
14,4,7,0
14,4,8,0
14,4,9,0
14,4,10,0
14,4,11,0
14,5,1,0
14,5,2,0
14,5,3,0
14,5,4,0
14,5,5,0
14,5,6,0
14,5,7,0.625
14,5,8,0
14,5,9,0
14,5,10,0
14,5,11,0
15,1,1,0
15,1,2,0.07389163
15,1,3,0
15,1,4,0
15,1,5,0
15,1,6,0
15,1,7,0
15,1,8,0
15,1,9,0
