"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,FIB

timestep,value
278,-0.055436406
279,-0.06755179
280,-0.07983249
281,-0.09223377
282,-0.104707316
283,-0.11719884
284,-0.1296492
285,-0.1419959
286,-0.15417486
287,-0.16612214
288,-0.17777477
289,-0.18165436
290,-0.19300607
291,-0.20390159
292,-0.21429186
293,-0.2241293
294,-0.23336865
295,-0.24196768
296,-0.24988806
297,-0.25709537
298,-0.26355967
299,-0.26925555
300,-0.2741622
301,-0.27178028
302,-0.27587286
303,-0.27912393
304,-0.2815377
305,-0.28311676
306,-0.28386414
307,-0.2837855
308,-0.2828904
309,-0.28119305
310,-0.27871287
311,-0.27547407
312,-0.27150604
313,-0.26181915
314,-0.25690287
315,-0.25134847
316,-0.24520409
317,-0.23851882
318,-0.23134278
319,-0.22372684
320,-0.21572319
321,-0.20738411
322,-0.19876203
323,-0.18990897
324,-0.18087584
325,-0.16815498
326,-0.15909392
327,-0.1499688
328,-0.14082295
329,-0.13169892
330,-0.122637615
331,-0.11367622
332,-0.10484836
333,-0.09618335
334,-0.08770612
335,-0.07943722
336,-0.07139295
337,-0.06087771
338,-0.053445764
339,-0.046154223
340,-0.03901759
341,-0.032057755
342,-0.025297558
343,-0.018757282
344,-0.012452551
345,-0.006392932
346,-0.00058201153
347,0.00498265
348,0.010308756
349,0.018512433
350,0.023411896
351,0.027946664
352,0.032165017
353,0.03612036
354,0.03986614
355,0.043451544
356,0.04691829
357,0.050298076
358,0.05361252
359,0.056873526
360,0.060085382
361,0.035777595
362,0.05287859
363,0.0681061
364,0.08129415
365,0.09235983
366,0.10128206
367,0.10809366
368,0.11288156
369,0.11578804
370,0.11701057
371,0.11679716
372,0.115436606
373,0.11384531
374,0.11120275
375,0.10831926
376,0.10549896
377,0.10300569
378,0.10105507
379,0.099808924
380,0.099373475
381,0.09980151
382,0.10109788
383,0.103227064
384,0.10612254
385,0.10992681
386,0.113978155
387,0.11854565
388,0.12350789
389,0.12875256
390,0.13417847
391,0.13969773
392,0.14523678
393,0.15073724
394,0.15615536
395,0.16146143
396,0.16663858
397,0.1721593
398,0.17719488
399,0.18206704
400,0.18681382
401,0.19147299
402,0.19608308
403,0.20068237
404,0.20530717
405,0.2099897
406,0.21475679
407,0.21962868
408,0.2246182
409,0.22982505
410,0.23498993
411,0.24028607
412,0.24569227
413,0.2511848
414,0.25673687
415,0.2623195
416,0.26790223
417,0.27345413
418,0.27894497
419,0.28434613
420,0.28963092
421,0.29472706
422,0.29957882
423,0.30428255
424,0.3088135
425,0.31315628
426,0.31730065
427,0.32124016
428,0.32497105
429,0.3284923
430,0.33180538
431,0.33491367
432,0.33782285
433,0.4029572
434,0.38456896
435,0.369655
436,0.35852453
437,0.35110223
438,0.34701756
439,0.3457556
440,0.34675983
441,0.34948754
442,0.35343775
443,0.35816342
444,0.36327606
445,0.36837158
446,0.3732635
447,0.37772915
448,0.38160008
449,0.38476163
450,0.38714772
451,0.3887367
452,0.38954628
453,0.38962784
454,0.38906062
455,0.38794497
456,0.3863954
457,0.3853012
458,0.38337687
459,0.38136095
460,0.37936217
461,0.37746844
462,0.37574804
463,0.37424865
464,0.37299827
465,0.37200665
466,0.37126786
467,0.37076288
468,0.37046325
469,0.37125304
470,0.3711891
471,0.3712271
472,0.37132743
473,0.37145475
474,0.3715775
475,0.37166965
476,0.37171048
477,0.37168494
478,0.3715835
479,0.37140238
480,0.3711422
481,0.3715384
482,0.37081423
483,0.37008286
484,0.36934173
485,0.3685977
486,0.36786133
487,0.3671435
488,0.36645356
489,0.3657993
490,0.3651872
491,0.36462212
492,0.36410812
