"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,ValueFleetGroup

timestep,fleet,group,value
9,4,11,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,5,5,0
9,5,6,0
9,5,7,6.2381835
9,5,8,0
9,5,9,0
9,5,10,0
9,5,11,0
10,1,1,0
10,1,2,0.025176134
10,1,3,0
10,1,4,0
10,1,5,0
10,1,6,0
10,1,7,0
10,1,8,0
10,1,9,0
10,1,10,0
10,1,11,0
10,2,1,0
10,2,2,0
10,2,3,4.673316
10,2,4,0.7849601
10,2,5,0
10,2,6,0
10,2,7,0
10,2,8,0
10,2,9,0
10,2,10,0
10,2,11,0
10,3,1,0
10,3,2,0
10,3,3,0
10,3,4,0
10,3,5,1.410854
10,3,6,0.9964738
10,3,7,0
10,3,8,0
10,3,9,0
10,3,10,0
10,3,11,0
10,4,1,0
10,4,2,0
10,4,3,0
10,4,4,0
10,4,5,0
10,4,6,0.24911843
10,4,7,0
10,4,8,0
10,4,9,0
10,4,10,0
10,4,11,0
10,5,1,0
10,5,2,0
10,5,3,0
10,5,4,0
10,5,5,0
10,5,6,0
10,5,7,5.484828
10,5,8,0
10,5,9,0
10,5,10,0
10,5,11,0
11,1,1,0
11,1,2,0.024908876
11,1,3,0
11,1,4,0
11,1,5,0
11,1,6,0
11,1,7,0
11,1,8,0
11,1,9,0
11,1,10,0
11,1,11,0
11,2,1,0
11,2,2,0
11,2,3,4.6456246
11,2,4,0.7685495
11,2,5,0
11,2,6,0
11,2,7,0
11,2,8,0
11,2,9,0
11,2,10,0
11,2,11,0
11,3,1,0
11,3,2,0
11,3,3,0
11,3,4,0
11,3,5,1.3680929
11,3,6,0.9317944
11,3,7,0
11,3,8,0
11,3,9,0
11,3,10,0
11,3,11,0
11,4,1,0
11,4,2,0
11,4,3,0
11,4,4,0
11,4,5,0
11,4,6,0.23294857
11,4,7,0
11,4,8,0
11,4,9,0
11,4,10,0
11,4,11,0
11,5,1,0
11,5,2,0
11,5,3,0
11,5,4,0
11,5,5,0
11,5,6,0
11,5,7,4.7788515
11,5,8,0
11,5,9,0
11,5,10,0
11,5,11,0
12,1,1,0
12,1,2,0.024641145
12,1,3,0
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,0
12,1,9,0
12,1,10,0
12,1,11,0
12,2,1,0
12,2,2,0
12,2,3,4.6094418
12,2,4,0.74620223
12,2,5,0
12,2,6,0
12,2,7,0
12,2,8,0
12,2,9,0
12,2,10,0
12,2,11,0
12,3,1,0
12,3,2,0
12,3,3,0
12,3,4,0
12,3,5,1.3174769
12,3,6,0.8893401
12,3,7,0
12,3,8,0
12,3,9,0
12,3,10,0
12,3,11,0
12,4,1,0
12,4,2,0
12,4,3,0
12,4,4,0
12,4,5,0
12,4,6,0.22233501
12,4,7,0
12,4,8,0
12,4,9,0
12,4,10,0
12,4,11,0
12,5,1,0
12,5,2,0
12,5,3,0
12,5,4,0
12,5,5,0
12,5,6,0
12,5,7,4.145906
12,5,8,0
12,5,9,0
12,5,10,0
12,5,11,0
13,1,1,0
13,1,2,0.024378235
13,1,3,0
13,1,4,0
13,1,5,0
13,1,6,0
13,1,7,0
13,1,8,0
13,1,9,0
13,1,10,0
13,1,11,0
13,2,1,0
13,2,2,0
13,2,3,4.791832
13,2,4,0.7531619
13,2,5,0
13,2,6,0
13,2,7,0
13,2,8,0
13,2,9,0
13,2,10,0
13,2,11,0
13,3,1,0
13,3,2,0
13,3,3,0
13,3,4,0
13,3,5,1.2585465
13,3,6,0.8672049
13,3,7,0
13,3,8,0
13,3,9,0
13,3,10,0
13,3,11,0
13,4,1,0
13,4,2,0
13,4,3,0
13,4,4,0
13,4,5,0
13,4,6,0.21680121
13,4,7,0
13,4,8,0
13,4,9,0
13,4,10,0
13,4,11,0
13,5,1,0
13,5,2,0
13,5,3,0
13,5,4,0
13,5,5,0
13,5,6,0
13,5,7,3.5976505
13,5,8,0
13,5,9,0
13,5,10,0
13,5,11,0
14,1,1,0
14,1,2,0.02412387
14,1,3,0
14,1,4,0
14,1,5,0
14,1,6,0
14,1,7,0
14,1,8,0
14,1,9,0
14,1,10,0
14,1,11,0
14,2,1,0
14,2,2,0
14,2,3,4.738336
14,2,4,0.7167851
14,2,5,0
14,2,6,0
14,2,7,0
14,2,8,0
14,2,9,0
14,2,10,0
14,2,11,0
14,3,1,0
14,3,2,0
14,3,3,0
14,3,4,0
14,3,5,1.197008
14,3,6,0.8624152
14,3,7,0
14,3,8,0
14,3,9,0
14,3,10,0
14,3,11,0
14,4,1,0
14,4,2,0
14,4,3,0
14,4,4,0
14,4,5,0
14,4,6,0.21560378
14,4,7,0
14,4,8,0
14,4,9,0
14,4,10,0
14,4,11,0
14,5,1,0
14,5,2,0
14,5,3,0
14,5,4,0
14,5,5,0
14,5,6,0
14,5,7,3.1349473
14,5,8,0
14,5,9,0
14,5,10,0
14,5,11,0
15,1,1,0
15,1,2,0.023880072
15,1,3,0
15,1,4,0
15,1,5,0
15,1,6,0
15,1,7,0
15,1,8,0
15,1,9,0
15,1,10,0
15,1,11,0
15,2,1,0
15,2,2,0
15,2,3,4.6816406
15,2,4,0.6755206
15,2,5,0
15,2,6,0
15,2,7,0
15,2,8,0
15,2,9,0
15,2,10,0
15,2,11,0
15,3,1,0
15,3,2,0
15,3,3,0
15,3,4,0
15,3,5,1.1378075
15,3,6,0.87168217
15,3,7,0
15,3,8,0
15,3,9,0
15,3,10,0
15,3,11,0
15,4,1,0
15,4,2,0
15,4,3,0
15,4,4,0
15,4,5,0
15,4,6,0.21792051
15,4,7,0
15,4,8,0
15,4,9,0
15,4,10,0
15,4,11,0
